,Variable,SHAP_abs,Corr,Sign
470,WindowCombinationDrugs_lovastatin-lovastatin-40-40,0.0,0.0,blue
619,Drug_DailyDosage_DurationDose_metformin-1000-540,0.0,0.0,blue
620,Drug_DailyDosage_DurationDose_metoprolol-50-360,0.0,0.0,blue
621,Drug_DailyDosage_DurationDose_metoprolol-50-540,0.0,0.0,blue
622,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-metoprolol-metoprolol-metoprolol-80-80-80-1000-50-50-50,0.0,0.0,blue
623,WindowCombinationDrugs_atorvastatin-atorvastatin-metformin-metformin-metoprolol-metoprolol-metoprolol-metoprolol-80-80-1000-1000-50-50-50-50,0.0,0.0,blue
624,Drug_DailyDosage_DurationDose_metformin-1000-360,0.0,0.0,blue
625,WindowCombinationDrugs_atorvastatin-metformin-metformin-metoprolol-metoprolol-metoprolol-80-1000-1000-50-50-50,0.0,0.0,blue
626,WindowCombinationDrugs_metformin-metformin-metformin-metoprolol-1000-1000-1000-50,0.0,0.0,blue
627,WindowCombinationDrugs_atorvastatin-losartan-losartan-metformin-20-100-100-2000,0.0,0.0,blue
628,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-losartan-metformin-metformin-20-40-100-100-2000-2000,0.0,0.0,blue
629,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-40-20-20,0.0,0.0,blue
630,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-losartan-metformin-20-80-20-100-2000,0.0,0.0,blue
631,Drug_DailyDosage_DurationDose_atorvastatin-80-30,0.0,0.0,blue
632,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-metformin-80-20-100-2000,0.0,0.0,blue
633,Drug_DailyDosage_DurationDose_losartan-50-270,0.0,0.0,blue
634,WindowCombinationDrugs_atorvastatin-losartan-losartan-metoprolol-40-50-50-50,0.0,0.0,blue
635,Drug_DailyDosage_DurationDose_losartan-50-34,0.0,0.0,blue
636,WindowCombinationDrugs_atorvastatin-losartan-metoprolol-40-50-50,0.0,0.0,blue
637,WindowCombinationDrugs_losartan-losartan-metoprolol-50-50-50,0.0,0.0,blue
638,Drug_DailyDosage_DurationDose_metoprolol-50-45,0.0,0.0,blue
639,WindowCombinationDrugs_losartan-metformin-metformin-metformin-100-1000-1000-500,0.0,0.0,blue
640,WindowCombinationDrugs_metformin-metformin-1000-500,0.0,0.0,blue
641,WindowCombinationDrugs_losartan-losartan-metoprolol-metoprolol-simvastatin-simvastatin-50-50-50-50-20-20,0.0,0.0,blue
642,Drug_DailyDosage_DurationDose_losartan-50-10,0.0,0.0,blue
643,Drug_DailyDosage_DurationDose_metoprolol-50-10,0.0,0.0,blue
618,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-metoprolol-metoprolol-80-80-80-1000-50-50,0.0,0.0,blue
644,Drug_DailyDosage_DurationDose_simvastatin-20-10,0.0,0.0,blue
617,WindowCombinationDrugs_carvedilol-metformin-12.5-500,0.0,0.0,blue
615,WindowCombinationDrugs_rosuvastatin-valsartan-valsartan-20-320-320,0.0,0.0,blue
590,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-losartan-losartan-metformin-metformin-metformin-40-40-100-50-100-1000-1000-1000,0.0,0.0,blue
591,WindowCombinationDrugs_atorvastatin-losartan-metformin-metformin-40-100-1000-1000,0.0,0.0,blue
592,WindowCombinationDrugs_metformin-simvastatin-2000-20,0.0,0.0,blue
593,WindowCombinationDrugs_losartan-simvastatin-50-20,0.0,0.0,blue
594,WindowCombinationDrugs_losartan-simvastatin-simvastatin-50-20-20,0.0,0.0,blue
595,WindowCombinationDrugs_metoprolol-rosuvastatin-50-20,0.0,0.0,blue
596,Drug_DailyDosage_DurationDose_metoprolol-100-60,0.0,0.0,blue
597,WindowCombinationDrugs_lovastatin-metformin-metoprolol-metoprolol-40-500-100-100,0.0,0.0,blue
598,WindowCombinationDrugs_metformin-metoprolol-500-100,0.0,0.0,blue
599,WindowCombinationDrugs_lovastatin-metformin-metformin-metoprolol-40-500-500-100,0.0,0.0,blue
600,Drug_DailyDosage_DurationDose_metformin-1000-100,0.0,0.0,blue
601,WindowCombinationDrugs_irbesartan-metformin-metoprolol-metoprolol-300-2000-25-100,0.0,0.0,blue
602,Drug_DailyDosage_DurationDose_irbesartan-300-45,0.0,0.0,blue
603,Drug_DailyDosage_DurationDose_metoprolol-25-330,0.0,0.0,blue
604,WindowCombinationDrugs_irbesartan-metoprolol-metoprolol-300-25-100,0.0,0.0,blue
605,WindowCombinationDrugs_metformin-metoprolol-metoprolol-2000-25-100,0.0,0.0,blue
606,WindowCombinationDrugs_atorvastatin-metoprolol-10-100,0.0,0.0,blue
607,WindowCombinationDrugs_atorvastatin-rosuvastatin-10-5,0.0,0.0,blue
608,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-metformin-rosuvastatin-rosuvastatin-10-10-10-1000-1000-5-5,0.0,0.0,blue
609,WindowCombinationDrugs_atorvastatin-metformin-10-1000,0.0,0.0,blue
610,WindowCombinationDrugs_atenolol-atenolol-50-50,0.0,0.0,blue
611,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-10-10-10-500,0.0,0.0,blue
612,WindowCombinationDrugs_rosuvastatin-valsartan-valsartan-valsartan-20-320-320-80,0.0,0.0,blue
613,Drug_DailyDosage_DurationDose_valsartan-80-90,0.0,0.0,blue
614,WindowCombinationDrugs_rosuvastatin-valsartan-valsartan-valsartan-20-320-80-320,0.0,0.0,blue
616,WindowCombinationDrugs_rosuvastatin-rosuvastatin-valsartan-valsartan-20-20-320-320,0.0,0.0,blue
645,WindowCombinationDrugs_losartan-losartan-losartan-metoprolol-metoprolol-metoprolol-simvastatin-simvastatin-simvastatin-50-50-50-50-50-50-20-20-20,0.0,0.0,blue
646,WindowCombinationDrugs_losartan-metoprolol-simvastatin-50-50-20,0.0,0.0,blue
647,WindowCombinationDrugs_metformin-metformin-2000-1000,0.0,0.0,blue
679,WindowCombinationDrugs_metoprolol-metoprolol-metoprolol-metoprolol-valsartan-valsartan-valsartan-valsartan-valsartan-valsartan-50-50-50-50-320-320-320-320-320-320,0.0,0.0,blue
680,WindowCombinationDrugs_metoprolol-metoprolol-metoprolol-simvastatin-valsartan-valsartan-valsartan-valsartan-valsartan-valsartan-50-50-50-20-320-320-320-320-320-320,0.0,0.0,blue
